time,province,aqi,co,no2,ozone1hour,pm10,pm25,so2
2017-04-09,青海,60.96,0.98,21.4,73.9,74.77,30.07,19.78
2017-04-09,黑龙江,47.0,0.71,19.27,71.88,46.0,25.55,13.75
2017-04-10,上海,40.45,0.63,42.07,73.35,35.61,26.77,7.4
2017-04-10,云南,72.24,0.84,20.22,111.14,80.1,42.98,13.05
2017-04-10,内蒙古,54.33,0.7,19.26,74.32,60.45,24.28,16.62
2017-04-10,北京,91.88,0.73,56.9,44.49,116.95,64.48,8.9
2017-04-10,吉林,85.51,1.1,28.57,79.9,99.73,49.09,19.95
2017-04-10,四川,34.65,0.78,20.67,81.01,27.98,13.77,11.07
2017-04-10,天津,79.61,1.3,56.62,57.68,99.05,52.09,29.67
2017-04-10,宁夏,47.68,0.51,15.99,89.82,50.94,15.6,13.69
2017-04-10,安徽,46.27,0.66,28.6,63.66,42.13,27.82,13.01
2017-04-10,山东,67.51,0.85,42.61,62.74,82.39,35.18,26.25
2017-04-10,山西,65.7,1.37,38.83,51.7,69.98,44.02,34.73
2017-04-10,广东,40.85,0.74,21.36,29.09,41.87,21.24,9.05
2017-04-10,广西,59.61,0.88,17.28,62.68,63.43,38.2,12.84
2017-04-10,新疆,57.72,0.82,22.42,77.0,66.97,26.8,9.07
2017-04-10,江苏,49.44,0.76,32.46,61.51,51.12,28.39,11.24
2017-04-10,江西,29.83,0.85,15.37,57.37,25.22,16.92,13.53
2017-04-10,河北,84.02,1.34,53.78,52.43,110.7,51.78,36.96
2017-04-10,河南,62.12,1.24,39.77,41.53,67.56,40.38,21.21
2017-04-10,浙江,36.21,0.84,33.02,55.77,33.67,19.31,8.04
2017-04-10,海南,33.48,0.53,10.68,44.23,34.48,16.38,4.03
2017-04-10,湖北,35.67,0.87,19.08,64.69,31.71,21.21,6.92
2017-04-10,湖南,24.84,0.77,12.59,60.15,19.8,11.51,6.9
2017-04-10,甘肃,39.89,0.55,18.83,72.68,36.97,20.38,9.57
2017-04-10,福建,44.05,0.74,20.77,42.85,43.3,25.2,8.44
2017-04-10,西藏,62.39,0.61,10.01,112.66,73.34,19.95,8.97
2017-04-10,贵州,43.65,0.85,15.35,68.21,49.32,21.39,9.82
2017-04-10,辽宁,78.17,1.07,41.2,76.31,97.62,47.84,28.2
2017-04-10,重庆,31.62,1.0,31.46,38.66,29.37,18.47,7.75
2017-04-10,陕西,41.47,1.13,28.14,60.49,36.06,23.1,7.9
2017-04-10,青海,64.64,0.99,22.1,81.08,75.25,34.19,21.61
2017-04-10,黑龙江,82.97,0.83,23.65,84.24,100.6,49.13,15.3
2017-04-11,上海,74.37,0.99,58.09,51.65,70.98,54.21,9.11
2017-04-11,云南,79.16,0.89,22.23,116.1,89.72,50.58,14.11
2017-04-11,内蒙古,50.18,0.57,14.84,81.82,57.15,14.34,12.5
2017-04-11,北京,62.23,0.4,32.45,59.76,68.79,28.55,3.58
2017-04-11,吉林,63.13,0.9,16.37,78.47,76.53,24.65,9.6
2017-04-11,四川,42.94,0.68,25.84,65.0,42.06,22.79,12.12
2017-04-11,天津,76.04,1.25,51.11,56.77,97.05,40.24,22.35
2017-04-11,宁夏,50.28,0.56,21.37,80.72,54.86,16.16,21.73
2017-04-11,安徽,68.91,0.81,28.04,65.65,68.03,47.73,13.31
2017-04-11,山东,77.14,0.94,34.73,67.9,96.26,41.8,22.68
2017-04-11,山西,84.51,1.36,37.75,61.01,97.09,53.81,36.52
2017-04-11,广东,43.2,0.84,25.86,26.25,45.02,24.77,8.47
2017-04-11,广西,52.29,0.98,17.57,48.53,52.75,32.75,12.75
2017-04-11,新疆,66.05,0.89,26.64,82.51,79.87,31.61,10.04
2017-04-11,江苏,70.54,0.96,35.17,62.75,71.9,50.4,13.16
2017-04-11,江西,32.66,0.75,16.34,53.53,29.49,19.19,12.66
2017-04-11,河北,84.04,0.95,38.4,67.92,109.23,45.32,21.99
2017-04-11,河南,83.02,1.44,39.86,51.37,96.15,55.73,20.74
2017-04-11,浙江,42.25,0.89,32.23,42.46,41.02,26.46,8.83
2017-04-11,海南,40.61,0.64,19.05,42.37,42.95,20.41,4.42
2017-04-11,湖北,55.03,1.1,28.3,54.28,55.56,36.37,11.65
2017-04-11,湖南,40.31,0.78,17.15,63.3,37.05,24.02,10.13
2017-04-11,甘肃,45.22,0.55,23.12,72.51,45.69,22.29,12.92
2017-04-11,福建,34.05,0.8,19.42,57.42,29.51,17.71,7.8
2017-04-11,西藏,58.63,0.6,10.03,120.74,61.94,17.95,9.55
2017-04-11,贵州,39.43,0.83,15.63,71.48,40.78,18.43,10.17
2017-04-11,辽宁,72.65,0.61,19.64,81.5,93.75,22.16,14.12
2017-04-11,重庆,43.35,1.04,45.84,35.01,43.65,25.3,12.86
2017-04-11,陕西,53.17,1.11,36.82,50.08,56.33,28.6,11.37
2017-04-11,青海,61.11,0.89,15.27,93.37,68.02,34.88,15.68
2017-04-11,黑龙江,41.15,0.59,15.09,75.46,40.67,21.23,11.79
2017-04-12,上海,90.32,0.81,64.09,60.41,90.65,48.69,11.61
2017-04-12,云南,84.58,0.99,24.01,109.67,94.65,55.27,16.84
2017-04-12,内蒙古,52.41,0.73,24.85,72.83,60.36,20.82,16.43
2017-04-12,北京,67.57,0.52,47.35,51.8,87.74,26.89,4.78
2017-04-12,吉林,59.16,0.87,18.11,67.91,70.72,21.29,10.77
2017-04-12,四川,44.15,0.6,26.56,72.59,43.49,22.37,12.84
2017-04-12,天津,107.18,1.53,64.21,56.46,149.1,63.69,28.78
2017-04-12,宁夏,64.81,0.68,31.21,67.81,78.83,31.38,22.54
2017-04-12,安徽,90.41,0.96,39.94,78.17,101.05,62.56,17.71
2017-04-12,山东,93.29,1.0,40.62,85.17,125.77,53.68,24.54
2017-04-12,山西,84.09,1.3,47.09,61.23,107.03,48.34,38.91
2017-04-12,广东,31.7,0.9,25.0,33.33,30.94,16.94,8.3
2017-04-12,广西,42.97,0.89,18.26,68.83,41.97,24.61,11.87
2017-04-12,新疆,74.89,0.96,32.75,75.72,95.48,38.13,10.75
2017-04-12,江苏,79.93,0.91,44.28,75.01,97.38,44.88,18.35
